Dataset,Classifier,Accuracy,Time Taken
Breast Cancer,BaggingOCT,0.9736842105263158,3010.2000918388367
Breast Cancer,RandomForest,0.9649122807017544,0.2074298858642578
Breast Cancer,GradientBoosting,0.956140350877193,0.4214038848876953
Iris,BaggingOCT,1.0,811.3925111293793
Iris,RandomForest,1.0,0.1655850410461425
Iris,GradientBoosting,1.0,0.1693141460418701
Digits,BaggingOCT,0.42,3053.59761595726
Digits,RandomForest,0.9777777777777776,0.3721101284027099
Digits,GradientBoosting,0.9694444444444444,7.318972110748291
Glass,BaggingOCT,0.7209302325581395,3094.871374130249
Glass,RandomForest,0.8837209302325582,0.1932830810546875
Glass,GradientBoosting,0.8837209302325582,0.4797127246856689
Zoo,BaggingOCT,0.9523809523809524,517.8273727893829
Zoo,RandomForest,0.9523809523809524,0.1503701210021972
Zoo,GradientBoosting,1.0,0.3653450012207031
Breast Cancer,BaggingmOCT,0.3771929824561403,0.5684568881988525
Breast Cancer,Random Forest,0.9649122807017544,0.1825819015502929
Breast Cancer,Gradient Boost,0.956140350877193,0.4144749641418457
Iris,BaggingmOCT,0.3666666666666666,0.3003439903259277
Iris,Random Forest,1.0,0.1119070053100586
Iris,Gradient Boost,1.0,0.1608731746673584
Digits,BaggingmOCT,0.2888888888888888,3211.8458149433136
Digits,Random Forest,0.975,0.4809153079986572
Digits,Gradient Boost,0.9694444444444444,8.088510036468506
Glass,BaggingmOCT,0.1627906976744186,0.3421850204467773
Glass,Random Forest,0.8837209302325582,0.1300961971282959
Glass,Gradient Boost,0.8837209302325582,0.4736921787261963
Zoo,BaggingmOCT,0.9523809523809524,28.9270122051239
Zoo,Random Forest,0.9523809523809524,0.1425909996032714
Zoo,Gradient Boost,1.0,0.3569240570068359
Glass,BaggingmOCT,0.2790697674418604,0.4157619476318359
Glass,Random Forest,0.8372093023255814,0.1399619579315185
Glass,Gradient Boost,0.8837209302325582,0.4765341281890869
Zoo,BaggingmOCT,0.9523809523809524,40.11739087104797
Zoo,Random Forest,0.9523809523809524,0.1345231533050537
Zoo,Gradient Boost,1.0,0.3666779994964599
YALE,BaggingOCT,0.2307692307692307,5220.658984184265
YALE,Random Forest,1.0,0.5570588111877441
YALE,Gradient Boost,0.9807692307692308,129.6577708721161
YALE,Bagging-MOCTBaggingOCT,0.0192307692307692,15.62009334564209
YALE,Random Forest,0.9807692307692308,0.4146769046783447
YALE,Gradient Boost,0.9615384615384616,140.76425528526306
YALE,Bagging-MOCTBaggingOCT,0.0,168.65384888648987
YALE,Random Forest,1.0,0.4670109748840332
YALE,Gradient Boost,0.9807692307692308,131.29935693740845
YALE,Bagging-MOCTBaggingOCT,0.0,112.7828848361969
YALE,Random Forest,1.0,0.451333999633789
YALE,Gradient Boost,0.9615384615384616,130.77934193611145
YALE,Bagging-MOCTBaggingOCT,0.0,112.2129578590393
YALE,Random Forest,1.0,0.4452159404754638
YALE,Gradient Boost,1.0,130.92784786224365
YALE,Bagging-MOCTBaggingOCT,0.0,115.74629402160645
YALE,Random Forest,1.0,0.4409627914428711
YALE,Gradient Boost,0.9615384615384616,130.7166771888733
YALE,Bagging-MOCTBaggingOCT,0.0,155.1668529510498
YALE,Random Forest,0.9903846153846154,0.8662557601928711
YALE,Gradient Boost,0.9519230769230768,282.9768087863922
